code,QA,fill
A105003001,3.662095720420831,#449C93
A107020001,6.045187010590008,#2A6863
A108003001,4.417404204725767,#449C93
A112010001,3.810091702032703,#449C93
A116003002,4.371836667094648,#449C93
A125020001,2.4377670482601785,#7ACEB9
A125020101,2.593250552274989,#7ACEB9
A133003001,3.6033890791321115,#449C93
A143020002,2.2409236558662426,#7ACEB9
A146020101,2.617052016625959,#7ACEB9
A146020302,2.5113527614935265,#7ACEB9
A147003001,2.989603957645502,#7ACEB9
A161003001,3.848917527702001,#449C93
A204010001,3.3517079437292665,#7ACEB9
A204010101,2.876776573540272,#7ACEB9
A204010201,3.1184177377239197,#7ACEB9
A212020002,3.4744175004336775,#449C93
A213020001,3.7961614879103633,#449C93
A214010001,3.800809340026825,#449C93
A216010001,3.639623336837751,#449C93
A231020001,4.482206976675034,#449C93
A234021001,4.102499610272406,#449C93
A234021101,5.09814772419988,#449C93
A235020002,5.031904686913893,#449C93
A236003001,4.3427961707814635,#449C93
A237003001,4.359003876719209,#449C93
A273011002,3.2483392865687706,#7ACEB9
A276011001,3.610385273105956,#449C93
A284020001,4.29778012152272,#449C93
A286011002,3.8391453897639174,#449C93
A286011003,3.6223080200146924,#449C93
A293020001,6.558227275281683,#2A6863
A312000101,2.961063079622215,#7ACEB9
A315010001,2.603882174902819,#7ACEB9
A315020001,2.3793609293989775,#7ACEB9
A330010001,3.207284798877482,#7ACEB9
A331010001,2.314262139996717,#7ACEB9
A341020001,3.2672413107184797,#7ACEB9
A348020001,4.023662329228359,#449C93
A349020001,3.6567564531860968,#449C93
A350010001,3.053636658089494,#7ACEB9
A361011001,1.7847792932528754,#7ACEB9
A368021001,1.917291624794402,#7ACEB9
A369011001,2.217642112856951,#7ACEB9
A373020001,3.6047952767373603,#449C93
A402061001,1.8866918969132591,#7ACEB9
A405062001,1.5154256839531617,#BCE6DB
A414020202,1.3848503300009853,#BCE6DB
A420063001,1.3664824640722852,#BCE6DB
A420063002,1.5761458963788786,#BCE6DB
A433301001,2.0454379476796936,#7ACEB9
A436203001,1.5110645985358768,#BCE6DB
A443064001,1.3921560175904109,#BCE6DB
A444201001,2.805298197597526,#7ACEB9
A455000201,1.8303123870789988,#7ACEB9
A463201001,1.9482019562191162,#7ACEB9
A511061002,1.8171774350541494,#7ACEB9
A523011001,2.4601670486684992,#7ACEB9
A524201001,2.754606816982796,#7ACEB9
A526102001,3.016059349709075,#7ACEB9
A542201001,3.5635323507369256,#449C93
A543101001,3.4751340673811404,#449C93
A550061001,1.9164847956343547,#7ACEB9
A573061001,2.0108722181462584,#7ACEB9
A584201001,3.015604668507425,#7ACEB9
A605102001,2.866146854157241,#7ACEB9
A614201001,2.514065830975171,#7ACEB9
A615103001,2.6630390803924944,#7ACEB9
A631101001,2.5963892037347,#7ACEB9
A634101002,2.7515278707622146,#7ACEB9
A654111001,2.9851019386813684,#7ACEB9
A657111001,2.916265053080681,#7ACEB9
A670121001,2.66905941838836,#7ACEB9
A673122001,3.025633851077102,#7ACEB9
A676101001,2.7234920167610794,#7ACEB9
A692101001,2.291234200169815,#7ACEB9
A695301001,3.5673898136942968,#449C93
A701061001,1.9404470872486486,#7ACEB9
A712201001,2.8437680168832045,#7ACEB9
A735201001,2.621754104006624,#7ACEB9
A743061001,2.397098986599081,#7ACEB9
A758102001,1.8004953524702187,#7ACEB9
A764201001,1.537338088341098,#BCE6DB
A770101001,1.656336704638284,#BCE6DB
A782101001,1.8049426448326138,#7ACEB9
A788101001,2.2526853702850977,#7ACEB9
A793061002,2.2832800800689474,#7ACEB9
A807101001,1.9845132107518648,#7ACEB9
A812020101,3.023698530375164,#7ACEB9
A818201001,2.0541627672518077,#7ACEB9
A820101001,2.1325509367191224,#7ACEB9
A832201001,2.0634234389086115,#7ACEB9
A840101001,2.290925737131638,#7ACEB9
A843101001,1.9314069350914909,#7ACEB9
A850061001,1.8071355329620882,#7ACEB9
A873201001,2.7328971082398135,#7ACEB9
A901305050,1.8080842514095832,#7ACEB9
A902102050,2.0305247612743584,#7ACEB9
A907105050,2.396043932115648,#7ACEB9
A909106050,2.505871830489145,#7ACEB9
A919205040,4.282386864181196,#449C93
A920107050,3.225357123621433,#7ACEB9
A926000101,4.661228488287249,#449C93
A930108040,3.5679731143892908,#449C93
A931108060,3.8049978960816686,#449C93
A931109050,3.6953142342242224,#449C93
A932215050,2.4862730037905014,#7ACEB9
A953205050,4.3621626600710055,#449C93
A975201001,3.6348017878480023,#449C93
A983201001,3.1027474723132347,#7ACEB9
A986201001,3.6410817240518005,#449C93
A994202002,3.0618056771003914,#7ACEB9
B022001001,3.51690754799122,#449C93
B109201001,3.4013231149498444,#449C93
B110000001,3.416347710028608,#449C93
B115001001,2.7190312291333063,#7ACEB9
B122201001,2.9241431523740298,#7ACEB9
B128201001,3.555231313077237,#449C93
B130001001,2.865518350633369,#7ACEB9
B134001002,2.8366928437456584,#7ACEB9
B210000101,2.829777482323318,#7ACEB9
B213001001,2.5603277939982876,#7ACEB9
B222001001,2.360868439433305,#7ACEB9
B301001002,2.093305323343964,#7ACEB9
B315002001,1.6827477305026626,#BCE6DB
B400101001,0.8384457655730394,#BCE6DB
B402101001,0.9403527690672753,#BCE6DB
B403101001,1.0435519543464378,#BCE6DB
B422431001,0.2614269745011182,#BCE6DB
B457201001,1.6765966756761288,#BCE6DB
B460101001,1.790035793819952,#7ACEB9
B463101001,1.6482802475419145,#BCE6DB
B502001001,1.5466729793018852,#BCE6DB
B517201001,1.4222897640078778,#BCE6DB
B532201001,1.6561245833269542,#BCE6DB
B540001001,1.5529935585811558,#BCE6DB
B557201001,2.151709908284978,#7ACEB9
B611101001,0.12295427918406325,#BCE6DB
B700001002,1.440398052141717,#BCE6DB
B720000001,1.6408388186688991,#BCE6DB
B732201001,2.21102140244428,#7ACEB9
D015651001,3.0036090546027774,#7ACEB9
D015652001,3.040345735868112,#7ACEB9
D015656001,3.0167671641453446,#7ACEB9
D019222000,2.7780967144621043,#7ACEB9
D019223001,2.8158178808347625,#7ACEB9
D020601001,-1.2512235828376943,#EFE0B0
E156601001,3.844333703173439,#449C93
E172601002,3.981772380769621,#449C93
E172751001,4.446651401201187,#449C93
E182601001,3.825862349738731,#449C93
E182702001,3.6818067066943625,#449C93
E183041001,3.9249450065193705,#449C93
E207111002,2.773670046471592,#7ACEB9
E240041101,4.233684955025137,#449C93
E338351001,3.172851088188544,#7ACEB9
E351122001,3.254490895333538,#7ACEB9
E366601001,4.1984417673824534,#449C93
E403572001,3.8470605445707484,#449C93
E403573001,3.6463324621067508,#449C93
E430601001,3.771928766388771,#449C93
E490571001,7.5835503611185,#193830
E490701001,7.645906299420898,#193830
E530021001,3.4959508103283348,#449C93
E540031001,3.80791815415773,#449C93
E550572001,3.420896951113046,#449C93
E633095001,4.085430387287049,#449C93
E639701001,3.03508976253447,#7ACEB9
E640601001,3.3843609044991476,#7ACEB9
E640754001,2.5615931122956135,#7ACEB9
E645100000,3.696544652356688,#449C93
E645651001,3.0298673711907806,#7ACEB9
E648093001,3.9250816992936812,#449C93
F230200000,2.0948546478229924,#7ACEB9
F232000101,3.136892760956031,#7ACEB9
F240000106,2.0471618049760183,#7ACEB9
F312000201,2.180782102253067,#7ACEB9
